metric,effect,value,status,notes
precision,Var,-0.004343,Observed,2x2x2因子平均主效应；单种子
precision,Rec,0.046843,Observed,2x2x2因子平均主效应；单种子
precision,Bri,0.003382,Observed,2x2x2因子平均主效应；单种子
recall,Var,0.052453,Observed,2x2x2因子平均主效应；单种子
recall,Rec,0.005123,Observed,2x2x2因子平均主效应；单种子
recall,Bri,-0.039390,Observed,2x2x2因子平均主效应；单种子
map50,Var,0.028965,Observed,2x2x2因子平均主效应；单种子
map50,Rec,0.008057,Observed,2x2x2因子平均主效应；单种子
map50,Bri,-0.028177,Observed,2x2x2因子平均主效应；单种子
map50,Var_x_Rec,0.005641,Observed,二阶交互效应；单种子
map50,Var_x_Bri,0.047057,Observed,二阶交互效应；单种子
map50,Rec_x_Bri,0.020362,Observed,二阶交互效应；单种子
map50,Var_x_Rec_x_Bri,0.013385,Observed,三阶交互效应；单种子
map50_95,Var,0.024851,Observed,2x2x2因子平均主效应；单种子
map50_95,Rec,0.047884,Observed,2x2x2因子平均主效应；单种子
map50_95,Bri,-0.032581,Observed,2x2x2因子平均主效应；单种子
map50_95,Var_x_Rec,-0.001382,Observed,二阶交互效应；单种子
map50_95,Var_x_Bri,-0.005632,Observed,二阶交互效应；单种子
map50_95,Rec_x_Bri,0.032833,Observed,二阶交互效应；单种子
map50_95,Var_x_Rec_x_Bri,-0.009179,Observed,三阶交互效应；单种子
